family,winner_file,winner_rev,winner_batch_date,n_files,superseded_revs,status
selenite_programme_overview,selenite_programme_overview.html,-,2026-04-20,1,,AUTHORITATIVE
selenite_programme_scope,selenite_programme_scope.md,ECN-019 rewrite,2026-04-12,4,pre-ECN-019,AUTHORITATIVE
selenite_programme_technical_audit__23_claims_flagged_across_10_domains,Selenite_Programme_Technical_Audit__23_Claims_Flagged_Across_10_Domains.pdf,-,2026-03-03,1,,REFERENCE
selenite_scale,scaling_v1_3.m,v1.3,2026-03-11,3,- v1.2,AUTHORITATIVE
selenite_site_selection,W4_T3_3_JS_Selenite_site_selection_v1.docx,v1,2026-03-16,2,,AUTHORITATIVE
selenite_timeline_condensed,selenite_timeline_condensed.html,-,2026-04-20,2,,AUTHORITATIVE
selenite_value_chain,selenite_value_chain_v16.html,v16,2026-04-12,7,v13 v14 v14.1 v15 v7,AUTHORITATIVE
selenite_value_chain_v1_static,selenite_value_chain_v1_static.svg,-,2026-03-01,1,,FIGURE
selenite_verify,SELENITE_VERIFY_v5_0.m,v5.0,2026-03-11,12,- v2 v3 v4 v4.1 v4.2 v4.3 v4.4 v4.5,AUTHORITATIVE
selenite_visualize,SELENITE_VISUALIZE_v3_3.m,v3.3,2026-03-11,4,v3 v3.2,AUTHORITATIVE
selenite_water_loop,selenite_water_loop.jpg,-,2026-04-20,1,,FIGURE
studies_in_international_space,Studies_in_International_Space.pdf,-,2026-02-28,1,,OUT_OF_SCOPE
substation_3d_render,substation_3d_render.html,-,2026-03-15,2,,AUTHORITATIVE
substation_design,substation_design_v3.jsx,v3,2026-03-09,2,-,AUTHORITATIVE
t1_2_iter_iss_governance_summary,T1_2_ITER_ISS_Governance_Summary.docx,-,2026-03-01,1,,REFERENCE
the_bases_of_social_power,The_bases_of_social_power.pdf,-,2026-04-01,1,,OUT_OF_SCOPE
v2_demand_comp_by_phase,v2_demand_comp_by_phase.jpg,-,2026-03-05,1,,FIGURE
v2_molei_yield_sens,v2_molei_yield_sens.jpg,-,2026-03-05,1,,FIGURE
v2_power_budget,v2_power_budget.jpg,-,2026-03-05,1,,FIGURE
v2_probe_propellant_vs_missiondv,v2_probe_propellant_vs_missionDV.jpg,-,2026-03-05,1,,FIGURE
v2_propellant_balance_by_phase,v2_propellant_balance_by_phase.jpg,-,2026-03-05,1,,FIGURE
v2_skip_ballistic_hop,v2_skip_ballistic_hop.jpg,-,2026-03-05,1,,FIGURE
valuechain,updated_W3_T2_1_JS_ValueChain_v1_0.docx,v1.0+,2026-03-11,5,v1.0 v1.1,AUTHORITATIVE
w2_t1_6_asc_spacerobotics_v1_0_2026-02-27,W2_T1_6_ASC_SpaceRobotics_v1_0_2026-02-27.docx,-,2026-02-28,1,,TEAM_INPUT
w2_t1_6_oo_circulareconomy_v1_0_2026-02-27,W2_T1_6_OO_CircularEconomy_v1_0_2026-02-27.docx,-,2026-02-28,1,,TEAM_INPUT
w2_t1_6_rt_lifesupport_v1_0_2026-03-01,W2_T1_6_RT_LifeSupport_v1_0_2026-03-01.docx,-,2026-02-28,1,,TEAM_INPUT
w2_t1_6_vl_autonomousaisys_v1_0_2026_02_27,W2_T1_6_VL_AutonomousAISys_V1_0_2026_02_27.docx,-,2026-02-28,1,,TEAM_INPUT
w5_t4_6_vl_powersystemsbrief_v1_0_2026_03_22,W5_T4_6_VL_PowerSystemsBrief_v1_0_2026_03_22.docx,-,2026-03-23,1,,TEAM_INPUT
w5_task_4_1_oluchi_isru_workflow,W5_Task_4_1_Oluchi_ISRU_workflow.docx,-,2026-03-23,1,,TEAM_INPUT
w6_t5_4_rt_foodclosedloop_v1_2026-03-29,W6_T5_4_RT_foodclosedloop_v1_2026-03-29.docx,-,2026-04-20,1,,TEAM_INPUT
w7_t6_1_nb_sankey_material_flow_diagram_,W7_T6_1_NB_Sankey_Material_Flow_Diagram_.pdf,-,2026-04-20,1,,TEAM_INPUT
